i,t,angle_deg,omega_deg_s
0,0.0000,296.49,36.0
1,0.0380,297.86,44.3
2,0.0646,299.19,45.9
3,0.0975,300.53,39.3
4,0.1314,301.81,38.4
5,0.1654,303.14,39.6
6,0.1974,304.42,38.4
7,0.2337,305.74,41.9
8,0.2651,307.21,39.7
9,0.2982,308.28,36.6
10,0.3319,309.66,39.8
11,0.3659,310.97,42.7
12,0.3987,312.51,43.7
13,0.4302,313.79,38.6
14,0.4655,315.06,37.9
15,0.4987,316.38,39.1
16,0.5318,317.66,38.7
17,0.5661,318.99,39.0
18,0.5996,320.30,39.8
19,0.6332,321.65,39.9
20,0.6656,322.94,41.2
21,0.7004,324.43,42.2
22,0.7322,325.75,41.7
23,0.7640,327.08,39.3
24,0.7991,328.37,38.8
25,0.8316,329.70,39.3
26,0.8653,330.96,38.8
27,0.8990,332.31,40.0
28,0.9321,333.64,38.9
29,0.9658,334.91,40.0
30,0.9979,336.27,42.8
31,1.0325,337.77,40.7
32,1.0648,339.00,38.0
33,1.0987,340.28,38.1
34,1.1315,341.55,37.1
35,1.1656,342.75,37.2
36,1.1988,344.05,38.8
37,1.2325,345.35,39.7
38,1.2665,346.74,42.1
39,1.2975,348.08,43.1
40,1.3313,349.53,43.1
41,1.3663,351.04,43.0
42,1.3996,352.47,43.2
43,1.4306,353.82,41.8
44,1.4644,355.17,39.8
45,1.4983,356.51,39.7
46,1.5308,357.81,39.6
47,1.5648,359.15,39.3
48,1.5988,0.48,35.1
49,1.6303,1.47,34.9
50,1.6643,2.79,38.3
51,1.6983,4.07,37.4
52,1.7342,5.41,39.4
53,1.7647,6.66,39.2
54,1.7957,7.82,35.3
55,1.8299,8.95,34.9
56,1.8653,10.25,39.2
57,1.8983,11.62,42.5
58,1.9325,13.11,45.7
59,1.9656,14.69,55.8
60,1.9987,16.80,84.1
61,2.0321,20.29,110.0
62,2.0656,24.17,112.6
63,2.0996,27.89,114.6
64,2.1324,31.81,124.5
65,2.1654,36.09,129.8
66,2.1982,40.35,127.6
67,2.2317,44.55,125.6
68,2.2654,48.79,126.5
69,2.2993,53.09,126.9
70,2.3323,57.28,112.9
71,2.3661,60.61,101.3
72,2.4028,64.44,116.9
73,2.4340,68.42,152.0
74,2.4649,73.87,159.9
75,2.4985,78.65,140.3
76,2.5312,83.17,146.7
77,2.5656,88.52,133.2
78,2.5980,92.16,113.9
79,2.6308,95.94,117.1
80,2.6658,100.11,125.8
81,2.6977,104.31,136.2
82,2.7342,109.46,138.0
83,2.7657,113.72,128.8
84,2.8011,118.02,123.5
85,2.8333,122.06,128.4
86,2.8666,126.44,121.1
87,2.8989,130.02,119.1
88,2.9316,134.19,126.8
89,2.9648,138.38,128.7
90,2.9976,142.68,129.7
91,3.0309,146.95,128.6
92,3.0641,151.23,124.7
93,3.0981,155.32,124.0
94,3.1312,159.54,123.1
95,3.1670,163.77,122.2
96,3.2009,168.05,128.6
97,3.2335,172.32,133.0
98,3.2659,176.69,131.9
99,3.2992,180.98,131.7
100,3.3315,185.33,130.6
101,3.3660,189.69,125.8
102,3.3993,193.85,127.0
103,3.4324,198.12,126.0
104,3.4671,202.39,128.6
105,3.5001,206.80,132.6
106,3.5316,210.94,126.6
107,3.5663,215.15,129.9
108,3.5985,219.59,132.1
109,3.6325,223.88,124.5
110,3.6659,227.99,124.3
111,3.6992,232.16,124.2
112,3.7329,236.31,127.2
113,3.7660,240.65,129.5
114,3.7990,244.87,129.0
115,3.8328,249.27,129.3
116,3.8662,253.56,128.2
117,3.9004,257.94,126.7
118,3.9335,262.09,120.3
119,3.9659,265.82,123.2
121,4.0323,275.08,438.4
122,4.0640,293.50,-62.0
123,4.0983,267.51,-414.0
124,4.1318,264.89,-115.7
125,4.1667,259.49,-164.6
126,4.1974,254.17,-153.7
127,4.2333,249.48,-127.9
128,4.2662,245.35,-128.0
129,4.2995,241.00,-130.0
130,4.3324,236.75,-129.0
