i,t,ptr,conf,flash,nSec,sectors
0,0.0000,296.1,21.2,0,1,yellow:349/17
1,0.0380,297.4,21.7,0,1,yellow:350/16
2,0.0646,298.7,22.0,0,1,yellow:350/16
3,0.0975,300.1,22.0,0,1,yellow:350/16
4,0.1314,301.3,22.3,0,1,yellow:350/16
5,0.1654,302.7,22.7,0,1,yellow:350/16
6,0.1974,304.0,23.0,0,1,yellow:349/15
7,0.2337,305.3,23.5,0,1,yellow:349/15
8,0.2651,306.8,23.8,0,1,yellow:350/14
9,0.2982,307.9,24.3,0,1,yellow:350/14
10,0.3319,309.3,24.4,0,1,yellow:350/14
11,0.3659,310.6,24.5,0,1,yellow:350/14
12,0.3987,312.1,24.9,0,1,yellow:350/14
13,0.4302,313.4,25.2,0,1,yellow:349/13
14,0.4655,314.7,25.7,0,1,yellow:350/12
15,0.4987,316.0,26.1,0,1,yellow:350/12
16,0.5318,317.4,26.2,0,1,yellow:350/12
17,0.5661,318.7,26.4,0,1,yellow:350/12
18,0.5996,320.0,26.4,0,1,yellow:350/12
19,0.6332,321.4,27.1,0,1,yellow:349/11
20,0.6656,322.6,27.5,0,1,yellow:349/11
21,0.7004,324.1,28.2,0,1,yellow:350/10
22,0.7322,325.4,28.4,0,1,yellow:350/10
23,0.7640,326.8,15.7,0,2,yellow:17/24|yellow:349/9
24,0.7991,328.1,15.8,0,2,yellow:17/24|yellow:350/7
25,0.8316,329.4,16.1,0,2,yellow:17/23|yellow:350/8
26,0.8653,330.6,16.2,0,1,yellow:17/23
27,0.8990,332.0,16.5,0,1,yellow:17/22
28,0.9321,333.3,16.6,0,1,yellow:17/22
29,0.9658,334.8,15.8,0,1,yellow:17/22
30,0.9979,336.2,16.0,0,1,yellow:17/22
31,1.0325,337.8,16.3,0,1,yellow:17/22
32,1.0648,339.3,16.4,0,1,yellow:17/21
33,1.0987,340.5,16.9,0,1,yellow:17/21
34,1.1315,341.8,17.4,0,1,yellow:17/20
35,1.1656,342.8,17.8,0,1,yellow:17/20
36,1.1988,344.0,18.2,0,1,yellow:17/20
37,1.2325,345.3,18.6,0,1,yellow:17/20
38,1.2665,346.6,19.1,0,1,yellow:17/19
39,1.2975,347.9,19.6,0,1,yellow:17/19
40,1.3313,349.2,19.9,0,1,yellow:17/18
41,1.3663,350.6,20.5,0,1,yellow:17/18
42,1.3996,352.0,20.9,0,1,yellow:17/18
43,1.4306,353.3,21.0,0,1,yellow:17/18
44,1.4644,354.7,21.6,0,1,yellow:17/18
45,1.4983,356.0,21.7,0,1,yellow:17/17
46,1.5308,357.8,22.3,0,1,yellow:17/16
47,1.5648,359.5,22.7,0,1,yellow:17/16
48,1.5988,0.9,23.2,0,1,yellow:17/16
49,1.6303,2.1,23.3,0,1,yellow:17/16
50,1.6643,3.9,24.1,0,1,yellow:17/16
51,1.6983,5.2,24.7,0,1,yellow:17/15
52,1.7342,6.5,25.3,0,1,yellow:13/24
53,1.7647,8.2,26.3,0,1,yellow:13/21
54,1.7957,9.3,27.0,0,1,yellow:14/20
55,1.8299,10.4,27.9,0,1,yellow:15/18
56,1.8653,11.6,29.2,0,1,yellow:15/17
57,1.8983,13.0,29.9,0,1,yellow:16/16
58,1.9325,13.8,30.7,0,1,?:16/15
59,1.9656,14.7,32.0,0,1,?:17/12
60,1.9987,16.3,31.9,0,1,?:17/12
61,2.0321,18.9,31.6,0,1,?:17/13
62,2.0656,21.9,29.7,0,1,?:19/17
63,2.0996,25.8,26.3,0,1,yellow:21/21
64,2.1324,29.2,22.2,0,1,yellow:17/11
65,2.1654,33.4,15.1,0,2,yellow:80/24|yellow:17/10
66,2.1982,38.8,15.2,0,2,yellow:79/23|yellow:17/10
67,2.2317,40.5,14.3,0,3,yellow:79/23|?:33/8|yellow:17/10
68,2.2654,46.0,14.3,0,2,yellow:79/23|yellow:17/9
69,2.2993,50.1,13.7,0,1,yellow:79/23
70,2.3323,54.9,13.7,0,1,yellow:80/22
71,2.3661,59.1,13.6,0,1,yellow:80/22
72,2.4028,65.2,14.5,0,1,yellow:76/30
73,2.4340,70.8,16.8,0,1,yellow:78/24
74,2.4649,75.5,19.3,0,1,yellow:79/21
75,2.4985,78.6,20.2,0,1,yellow:79/21
76,2.5312,80.7,20.9,0,1,yellow:79/21
77,2.5656,84.8,20.3,0,1,yellow:80/21
78,2.5980,88.9,19.4,0,1,yellow:83/26
79,2.6308,93.7,20.1,0,1,yellow:80/20
80,2.6658,98.7,20.0,0,1,yellow:79/19
81,2.6977,100.3,17.6,0,1,yellow:79/19
82,2.7342,104.0,15.4,0,2,yellow:79/19|blue:109/9
83,2.7657,105.0,16.2,0,2,yellow:80/18|blue:113/9
84,2.8011,116.3,15.6,0,1,yellow:80/18
85,2.8333,120.0,16.8,0,1,yellow:80/18
86,2.8666,125.0,17.2,0,1,yellow:79/17
87,2.8989,127.9,16.9,0,1,yellow:79/17
88,2.9316,131.4,17.5,0,1,yellow:79/17
89,2.9648,137.1,18.7,0,1,yellow:79/17
90,2.9976,141.8,20.3,0,1,yellow:80/16
91,3.0309,146.1,22.7,0,1,yellow:80/16
92,3.0641,150.6,23.7,0,1,yellow:80/16
93,3.0981,154.3,24.0,0,1,yellow:79/15
94,3.1312,157.5,23.0,0,1,yellow:79/15
95,3.1670,161.2,22.5,0,1,yellow:79/15
96,3.2009,166.6,22.7,0,1,yellow:79/13
97,3.2335,171.1,21.5,0,1,yellow:76/6
