i,t,ball_found,ball_x,ball_y,vx,vy,paddle_cx,target,key
0,0.0,1,481,380,0.0,0.0,479,,
1,0.137,1,618,196,998.2,-1340.7,479,618,right
2,0.182,0,,,0.0,0.0,490,618,right
3,0.216,0,,,0.0,0.0,504,618,right
4,0.248,1,519,783,0.0,0.0,524,618,right
5,0.282,1,537,783,541.2,0.0,542,537,
6,0.335,1,545,783,285.7,0.0,550,545,
7,0.367,0,,,0.0,0.0,550,545,
8,0.399,0,,,0.0,0.0,550,545,
9,0.43,0,,,0.0,0.0,550,545,
10,0.448,0,,,0.0,0.0,550,,
11,0.48,1,618,196,0.0,0.0,550,,
12,0.5,0,,,0.0,0.0,547,,
13,0.532,0,,,0.0,0.0,547,,
14,0.565,1,509,617,0.0,0.0,547,,
15,0.598,1,506,615,-91.8,-61.2,547,506,left
16,0.644,1,509,612,0.0,0.0,547,506,left
17,0.666,1,506,612,-138.6,0.0,547,506,left
18,0.699,1,565,754,0.0,0.0,547,506,left
19,0.732,1,561,754,-119.6,0.0,547,561,right
20,0.798,0,,,0.0,0.0,547,561,right
21,0.832,1,563,754,0.0,0.0,547,561,right
22,0.863,1,585,694,703.1,-1917.5,547,585,right
23,0.881,1,565,756,0.0,0.0,547,585,right
24,0.915,1,567,756,58.6,0.0,547,585,right
25,0.948,1,569,758,59.9,29.7,547,585,right
26,0.981,0,,,0.0,0.0,547,,
27,1.029,1,573,760,0.0,0.0,547,,
28,1.048,0,,,0.0,0.0,547,,
29,1.081,0,,,0.0,0.0,547,,
30,1.098,0,,,0.0,0.0,547,,
31,1.131,1,618,196,0.0,0.0,547,,
32,1.164,0,,,0.0,0.0,547,,
33,1.197,0,,,0.0,0.0,547,,
34,1.213,0,,,0.0,0.0,547,,
35,1.23,0,,,0.0,0.0,547,,
36,1.248,0,,,0.0,0.0,547,,
37,1.281,1,607,706,0.0,0.0,547,,
38,1.315,0,,,0.0,0.0,547,,
39,1.348,0,,,0.0,0.0,547,,
40,1.38,0,,,0.0,0.0,547,,
41,1.399,0,,,0.0,0.0,547,,
42,1.431,0,,,0.0,0.0,547,,
43,1.465,1,618,196,0.0,0.0,547,,
44,1.498,0,,,0.0,0.0,547,,
45,1.532,0,,,0.0,0.0,547,,
